id,r2score,duration (min),colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
s7FQO,0.9541,1.93,0.8,0.03,0.1,5,1.5,1000,1.00E-05,0.45,0.6
zl2P2,0.9541,1.67,0.4,0.1,0.1,5,6,1000,1.00E-05,1.00E-05,0.95
M3u7P,0.9541,1.70,0.4,0.1,0.1,5,6,1000,0.01,1.00E-05,0.95
z0mkX,0.9538,1.81,0.4,0,0.07,5,1.5,1000,0.01,1.00E-05,0.6
SC7Fj,0.9538,1.79,0.4,0.3,0.1,5,6,1000,0.75,0.01,0.6
AjOcO,0.9535,1.55,0.8,0.3,0.07,3,1.5,1000,0.75,0.45,0.6
d790z,0.9535,1.87,0.4,0.1,0.07,5,1.5,1000,1.00E-05,0.45,0.6
iGvcd,0.9535,1.71,0.4,0,0.07,5,6,1000,0.01,0.01,0.95
c2NmH,0.9535,1.70,0.4,0,0.07,5,6,1000,0.01,0.01,0.95
CkiM5,0.9531,1.78,0.4,0.1,0.1,5,1.5,1000,0.01,0.45,0.95
tfR9K,0.9527,1.78,0.4,0.1,0.1,5,1.5,1000,0.75,1.00E-05,0.6
r39T0,0.9526,1.84,0.4,0,0.07,5,1.5,1000,0.01,0.01,0.6
UXjYU,0.9526,1.78,0.4,0.03,0.07,5,1.5,1000,0.01,0.01,0.6
bqhK3,0.9520,1.72,0.8,0,0.07,3,1.5,1000,0.75,0.01,0.6
