reward,id,parameter
0.9559306491259221,EXoOX,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.07, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.6}"
0.9582740501040445,ZOkMq,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9576085383690364,PjfIC,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.6}"
0.9581721362122912,W7bDq,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9581874503065013,M7cHp,"{'colsample_bytree': 0.8, 'gamma': 0.03, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9571561774434036,R2Xlc,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9520326118117681,bj6HF,"{'colsample_bytree': 0.4, 'gamma': 0.03, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9564822958088713,AWX9B,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9587926100610051,MtXo1,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.956482294431446,O3XpL,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9581874503065013,bc5RF,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9581174244484588,pLCzJ,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9584598691071238,YTJB9,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 0.01, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9590358881092325,GNVd6,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.01, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9552518312870635,GoXDX,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.95}"
