id,r2score,duration (min),optimizer,neurons_width,hidden_layers,activation,batch_normalization,batch_size,epochs
YLP2x,0.58545281,3.08,Adam,16,2,LeakyReLU_0.01,none,20,60
zmwgR,0.581650337,13.68,Adam,32,16,relu,BatchNorm,20,60
GEzVO,0.581463023,1.26,Adam,32,2,LeakyReLU_0.05,none,30,20
EEemF,0.58052851,2.98,Adam,16,2,LeakyReLU_0.01,none,20,60
sOcM0,0.578815289,1.26,Adam,16,2,LeakyReLU_0.1,none,30,20
eJInX,0.57603667,1.53,Adam,64,2,LeakyReLU_0.1,none,20,20
Ta1tg,0.57327649,4.26,Adam,64,16,LeakyReLU_0.05,BatchNorm,30,20
hrEhk,0.570904368,1.30,Adam,16,4,LeakyReLU_0.05,none,30,20
xnNV1,0.570314029,7.70,Adam,16,8,LeakyReLU_0.1,BatchNorm,10,20
nimG3,0.567521088,5.62,Adam,64,16,relu,BatchNorm,20,20
ulg8A,0.564976583,3.09,Adam,32,2,LeakyReLU_0.01,none,20,60
yB05p,0.562383132,1.51,Adam,32,2,LeakyReLU_0.01,none,20,20
fEOkV,0.560828761,7.12,Adam,128,16,LeakyReLU_0.01,BatchNorm,20,20
fWacW,0.559909172,2.51,Adam,16,4,LeakyReLU_0.05,none,10,20
fsHBB,0.559733583,7.28,Adam,128,16,relu,BatchNorm,20,20
WMs2e,0.559182255,4.98,Adam,32,16,LeakyReLU_0.01,BatchNorm,20,20
MNJHr,0.54971064,2.23,Adam,32,2,relu,none,10,20
BGWEY,0.549199392,1.45,Adam,16,2,LeakyReLU_0.01,none,20,20
KHFxp,0.549011914,18.76,Adam,32,8,LeakyReLU_0.05,BatchNorm,10,60
A2Aft,0.548781639,7.53,Adam,128,16,LeakyReLU_0.01,BatchNorm,20,20
X9cwV,0.541243258,1.24,Adam,16,2,LeakyReLU_0.1,none,30,20
cmHMX,0.535086943,13.45,Adam,32,16,LeakyReLU_0.01,BatchNorm,20,60
jaAN3,0.528815124,6.89,Adam,16,8,LeakyReLU_0.05,BatchNorm,10,20
nzDoL,0.526694051,13.72,Adam,32,16,LeakyReLU_0.1,BatchNorm,20,60
hqzZl,0.525802817,19.88,Adam,16,8,LeakyReLU_0.1,BatchNorm,10,60
vUvBq,0.523995444,12.99,Adam,32,16,LeakyReLU_0.05,BatchNorm,20,60
pNgpP,0.523238246,1.52,Adam,64,2,relu,none,20,20
yo34z,0.52299457,5.82,Adam,64,16,LeakyReLU_0.01,BatchNorm,20,20
aDMvn,0.520565231,19.40,Adam,128,8,LeakyReLU_0.01,BatchNorm,10,60
Jzu60,0.518055977,9.52,Adam,128,8,LeakyReLU_0.01,none,10,60
KHLGm,0.517935444,2.28,Adam,16,2,LeakyReLU_0.05,none,10,20
DbVru,0.51119759,6.53,Adam,32,8,LeakyReLU_0.1,BatchNorm,10,20
bdeF2,0.488253577,17.64,Adam,16,32,LeakyReLU_0.1,BatchNorm,30,60
lGoJr,0.480343632,11.37,Adam,16,16,LeakyReLU_0.01,BatchNorm,10,20
rC6Xs,0.477346702,6.48,Adam,16,32,LeakyReLU_0.1,BatchNorm,30,20
gDcW1,0.47260272,15.47,Adam,64,16,LeakyReLU_0.1,BatchNorm,20,60
lHzEM,0.466283288,2.32,Adam,64,2,LeakyReLU_0.1,none,10,20
n8TKS,0.464432221,5.81,Adam,64,8,LeakyReLU_0.1,BatchNorm,10,20
UAMTO,0.460814173,18.13,Adam,16,8,LeakyReLU_0.05,BatchNorm,10,60
K9D4K,0.460442023,6.81,Adam,128,8,LeakyReLU_0.05,BatchNorm,10,20
x4acJ,0.450258564,17.77,Adam,16,32,LeakyReLU_0.01,BatchNorm,30,60
GUPqq,0.447031464,17.02,Adam,16,32,LeakyReLU_0.05,BatchNorm,30,60
dGbk3,0.443283531,6.36,Adam,32,32,LeakyReLU_0.05,BatchNorm,30,20
Sx6r2,0.441131228,14.70,Adam,128,16,LeakyReLU_0.05,BatchNorm,30,60
dpHuX,0.436570731,7.03,Adam,128,8,LeakyReLU_0.1,BatchNorm,10,20
eEq8p,0.436433498,7.60,Adam,64,32,LeakyReLU_0.1,BatchNorm,30,20
cffhB,0.435778079,6.19,Adam,16,32,LeakyReLU_0.01,BatchNorm,30,20
OM9i1,0.432535942,12.97,Adam,128,32,LeakyReLU_0.01,BatchNorm,20,20
Ghqat,0.423809174,19.47,Adam,128,8,LeakyReLU_0.05,BatchNorm,10,60
a4G8w,0.416179208,9.78,Adam,128,32,relu,BatchNorm,30,20
onDU6,0.411809782,11.51,Adam,32,16,LeakyReLU_0.01,BatchNorm,10,20
qNyuk,0.40998699,21.34,Adam,64,32,LeakyReLU_0.05,BatchNorm,30,60
gUStO,0.398668846,11.30,Adam,16,16,LeakyReLU_0.05,BatchNorm,10,20
E8MQI,0.384945017,6.62,Adam,32,32,LeakyReLU_0.01,BatchNorm,30,20
j3Dam,0.384221284,8.43,Adam,32,32,relu,BatchNorm,20,20
sIMqM,0.382518949,27.76,Adam,128,32,LeakyReLU_0.05,BatchNorm,30,60
bXFbA,0.364904291,10.99,Adam,16,32,LeakyReLU_0.05,BatchNorm,20,20
WUaGg,0.358594618,11.04,Adam,64,16,LeakyReLU_0.1,BatchNorm,30,60
xEAls,0.355097198,11.26,Adam,16,16,relu,BatchNorm,10,20
M2XDk,0.341500002,20.51,Adam,64,32,LeakyReLU_0.1,BatchNorm,30,60
ZRiA7,0.340090981,7.00,Adam,128,16,LeakyReLU_0.1,BatchNorm,20,20
k4g8d,0.335887586,6.25,Adam,16,32,LeakyReLU_0.05,BatchNorm,30,20
XlQXv,0.316345311,12.62,Adam,128,32,LeakyReLU_0.05,BatchNorm,20,20
xD5eg,0.31558637,35.09,Adam,128,32,LeakyReLU_0.1,BatchNorm,20,60
WiA7U,0.302778616,12.94,Adam,128,32,LeakyReLU_0.01,BatchNorm,20,20
plRwu,0.297436386,29.93,Adam,16,32,relu,BatchNorm,20,60
zPsbR,0.294610314,7.73,Adam,64,32,LeakyReLU_0.01,BatchNorm,30,20
irKSw,0.283626626,15.27,Adam,128,16,LeakyReLU_0.1,BatchNorm,30,60
WjaKT,0.282023037,15.16,Adam,64,32,LeakyReLU_0.1,none,10,60
hmOrl,0.281569279,27.75,Adam,64,32,relu,BatchNorm,20,60
uKTlT,0.268353343,27.98,Adam,64,16,LeakyReLU_0.01,BatchNorm,10,60
b7x8U,0.261970559,7.05,Adam,128,16,LeakyReLU_0.1,BatchNorm,20,20
C2H8r,0.257538555,11.44,Adam,32,16,LeakyReLU_0.01,BatchNorm,10,20
UprSC,0.245904117,9.45,Adam,32,32,LeakyReLU_0.05,BatchNorm,20,20
AS26H,0.22630688,11.04,Adam,16,32,LeakyReLU_0.1,BatchNorm,20,20
c2NMe,0.221558398,35.73,Adam,16,16,LeakyReLU_0.05,BatchNorm,10,60
Uh8Hp,0.218873288,23.84,Adam,32,32,LeakyReLU_0.01,BatchNorm,20,60
oxiNj,0.207874177,11.56,Adam,32,16,LeakyReLU_0.05,BatchNorm,10,20
r2vy5,0.204249188,11.95,Adam,32,16,LeakyReLU_0.01,BatchNorm,10,20
vIp5D,0.203017114,23.22,Adam,32,32,LeakyReLU_0.05,BatchNorm,20,60
Hgw14,0.195742581,28.10,Adam,64,16,LeakyReLU_0.05,BatchNorm,10,60
Ax9iZ,0.126110005,11.37,Adam,32,16,LeakyReLU_0.1,BatchNorm,10,20
dMnFu,0.119104064,27.36,Adam,64,32,LeakyReLU_0.05,BatchNorm,20,60
Csbu4,0.104450547,10.88,Adam,16,32,LeakyReLU_0.05,BatchNorm,20,20
PsCEY,0.059073961,12.62,Adam,128,16,LeakyReLU_0.1,BatchNorm,10,20
VZlml,0.022206708,22.16,Adam,128,32,LeakyReLU_0.05,BatchNorm,10,20
fSB7g,0.019903036,62.55,Adam,16,32,LeakyReLU_0.01,BatchNorm,10,60
CezTd,0,10.15,Adam,64,16,LeakyReLU_0.1,BatchNorm,10,20
vjrU8,0,51.34,Adam,64,32,LeakyReLU_0.1,BatchNorm,10,60
