Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2017-02-14;2017;2;14;Tuesday;Valentine's Day;Observance; 
2017-02-14;2017;2;14;Tuesday;Statehood Day;Local observance;Arizona
2017-02-15;2017;2;15;Wednesday;Susan B. Anthony's Birthday;Local observance;CA, FL, NY, WI
2017-02-16;2017;2;16;Thursday;Elizabeth Peratrovich Day;Local observance;Alaska
2017-02-20;2017;2;20;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
2017-02-20;2017;2;20;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
2017-02-24;2017;2;24;Friday;Maha Shivaratri;Hindu Holiday; 
2017-02-28;2017;2;28;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;AL*, FL**, LA, MS**
2017-02-28;2017;2;28;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
2017-02-28;2017;2;28;Tuesday;Linus Pauling Day;Local observance;Oregon
2017-03-01;2017;3;1;Wednesday;Ash Wednesday;Christian; 
2017-03-01;2017;3;1;Wednesday;St. David's Day;Observance, Christian; 
2017-03-01;2017;3;1;Wednesday;First Day of Women's History Month;Annual monthly observance; 
2017-03-02;2017;3;2;Thursday;Texas Independence Day;State holiday;Texas
2017-03-02;2017;3;2;Thursday;Read Across America Day;Observance; 
2017-03-03;2017;3;3;Friday;Employee Appreciation Day;Observance; 
2017-03-06;2017;3;6;Monday;Casimir Pulaski Day;Local observance;Illinois**
2017-03-07;2017;3;7;Tuesday;Town Meeting Day;State holiday;Vermont
2017-03-12;2017;3;12;Sunday;Holi;Hindu Holiday; 
2017-03-12;2017;3;12;Sunday;Purim;Jewish holiday; 
2017-03-12;2017;3;12;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
2017-03-17;2017;3;17;Friday;St. Patrick's Day;Observance, Christian; 
2017-03-17;2017;3;17;Friday;Evacuation Day;State holiday;Massachusetts*
2017-03-20;2017;3;20;Monday;March Equinox;Season; 
2017-03-25;2017;3;25;Saturday;Maryland Day;Local observance;Maryland
2017-03-26;2017;3;26;Sunday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
2017-03-27;2017;3;27;Monday;Prince Jonah Kuhio Kalanianaole Day observed;State holiday;Hawaii
2017-03-27;2017;3;27;Monday;Seward's Day;State holiday;Alaska
2017-03-29;2017;3;29;Wednesday;National Vietnam War Veterans Day;Observance; 
2017-03-31;2017;3;31;Friday;César Chávez Day;State holiday;AZ*, CA*, CO***, MI*, NM*, NV*, TX***, UT*, WA*, WI*
2017-04-02;2017;4;2;Sunday;Pascua Florida Day;Local observance;Florida
2017-04-03;2017;4;3;Monday;Pascua Florida Day observed;Local observance;Florida
2017-04-06;2017;4;6;Thursday;National Tartan Day;Observance; 
2017-04-09;2017;4;9;Sunday;Palm Sunday;Christian; 
2017-04-11;2017;4;11;Tuesday;Passover (first day);Jewish holiday; 
2017-04-11;2017;4;11;Tuesday;National Library Workers' Day;Observance; 
2017-04-13;2017;4;13;Thursday;Maundy Thursday;Christian; 
2017-04-13;2017;4;13;Thursday;Thomas Jefferson's Birthday;Observance; 
2017-04-14;2017;4;14;Friday;Orthodox Good Friday;Orthodox; 
2017-04-14;2017;4;14;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
2017-04-15;2017;4;15;Saturday;Holy Saturday;Christian; 
2017-04-15;2017;4;15;Saturday;Orthodox Holy Saturday;Orthodox; 
2017-04-15;2017;4;15;Saturday;Father Damien Day;Local observance;Hawaii
2017-04-16;2017;4;16;Sunday;Orthodox Easter;Orthodox; 
2017-04-16;2017;4;16;Sunday;Easter Sunday;Observance, Christian; 
2017-04-16;2017;4;16;Sunday;Emancipation Day;State holiday;DC
2017-04-17;2017;4;17;Monday;Orthodox Easter Monday;Orthodox; 
2017-04-17;2017;4;17;Monday;Easter Monday;Observance, Christian; 
2017-04-17;2017;4;17;Monday;Emancipation Day observed;State holiday;DC
2017-04-17;2017;4;17;Monday;Patriot's Day;State holiday;Maine, Massachusetts
2017-04-17;2017;4;17;Monday;Boston Marathon;Sporting event; 
2017-04-18;2017;4;18;Tuesday;Last Day of Passover;Jewish holiday; 
2017-04-18;2017;4;18;Tuesday;Tax Day;Observance; 
2017-04-21;2017;4;21;Friday;San Jacinto Day;State holiday;Texas
2017-04-22;2017;4;22;Saturday;Oklahoma Day;Local observance;Oklahoma
2017-04-24;2017;4;24;Monday;Yom HaShoah;Jewish commemoration; 
2017-04-24;2017;4;24;Monday;Isra and Mi'raj;Muslim; 
2017-04-24;2017;4;24;Monday;Confederate Memorial Day;State holiday;Mississippi
2017-04-24;2017;4;24;Monday;Confederate Memorial Day;State holiday;Alabama
2017-04-24;2017;4;24;Monday;State Holiday;State holiday;Georgia
2017-04-26;2017;4;26;Wednesday;Confederate Heroes' Day;Local observance;Florida
2017-04-26;2017;4;26;Wednesday;Administrative Professionals Day;Observance; 
2017-04-27;2017;4;27;Thursday;Take our Daughters and Sons to Work Day;Observance; 
2017-04-28;2017;4;28;Friday;Arbor Day;State holiday;Nebraska
2017-05-01;2017;5;1;Monday;Law Day;Observance; 
2017-05-01;2017;5;1;Monday;Loyalty Day;Observance; 
2017-05-01;2017;5;1;Monday;Lei Day;Local observance;Hawaii
2017-05-02;2017;5;2;Tuesday;Yom Ha'atzmaut;Jewish holiday; 
2017-05-04;2017;5;4;Thursday;Kent State Shootings Remembrance;Local observance;Ohio
2017-05-04;2017;5;4;Thursday;National Day of Prayer;Observance; 
2017-05-04;2017;5;4;Thursday;Rhode Island Independence Day;Local observance;Rhode Island
2017-05-05;2017;5;5;Friday;Cinco de Mayo;Observance; 
2017-05-05;2017;5;5;Friday;Kentucky Oaks;Sporting event; 
2017-05-06;2017;5;6;Saturday;Kentucky Derby;Sporting event; 
2017-05-06;2017;5;6;Saturday;National Nurses Day;Observance; 
2017-05-06;2017;5;6;Saturday;National Explosive Ordnance Disposal (EOD) Day;Observance; 
2017-05-08;2017;5;8;Monday;Truman Day;State holiday;Missouri
2017-05-08;2017;5;8;Monday;Victory in Europe Day;Observance; 
2017-05-10;2017;5;10;Wednesday;Confederate Memorial Day;Local observance;North Carolina
2017-05-10;2017;5;10;Wednesday;Confederate Memorial Day;State holiday;South Carolina
2017-05-12;2017;5;12;Friday;Military Spouse Appreciation Day;Observance; 
2017-05-14;2017;5;14;Sunday;Lag BaOmer;Jewish holiday; 
2017-05-14;2017;5;14;Sunday;Mother's Day;Observance; 
2017-05-15;2017;5;15;Monday;Peace Officers Memorial Day;Observance; 
2017-05-19;2017;5;19;Friday;National Defense Transportation Day;Observance; 
2017-05-20;2017;5;20;Saturday;Armed Forces Day;Observance; 
2017-05-20;2017;5;20;Saturday;Preakness Stakes;Sporting event; 
2017-05-22;2017;5;22;Monday;National Maritime Day;Observance; 
2017-05-22;2017;5;22;Monday;Harvey Milk Day;Local observance;California
2017-05-24;2017;5;24;Wednesday;Emergency Medical Services for Children Day;Observance; 
2017-05-25;2017;5;25;Thursday;Ascension Day;Christian; 
2017-05-25;2017;5;25;Thursday;National Missing Children's Day;Observance; 
2017-05-27;2017;5;27;Saturday;Ramadan Starts;Muslim; 
2017-05-29;2017;5;29;Monday;Memorial Day;Federal Holiday; 
2017-05-29;2017;5;29;Monday;Jefferson Davis' Birthday;Local observance;Mississippi
2017-05-31;2017;5;31;Wednesday;Shavuot;Jewish holiday; 
2017-06-01;2017;6;1;Thursday;Statehood Day;Local observance;Kentucky, Tennessee
2017-06-03;2017;6;3;Saturday;Jefferson Davis' Birthday;Local observance;Florida
2017-06-04;2017;6;4;Sunday;Pentecost;Christian; 
2017-06-05;2017;6;5;Monday;Whit Monday;Christian; 
2017-06-05;2017;6;5;Monday;Jefferson Davis' Birthday;State holiday;Alabama
2017-06-06;2017;6;6;Tuesday;D-Day;Observance; 
2017-06-10;2017;6;10;Saturday;Belmont Stakes;Sporting event; 
2017-06-11;2017;6;11;Sunday;Trinity Sunday;Christian; 
2017-06-11;2017;6;11;Sunday;Kamehameha Day;State holiday;Hawaii
2017-06-11;2017;6;11;Sunday;Bunker Hill Day;Local observance;Massachusetts
2017-06-12;2017;6;12;Monday;Kamehameha Day observed;State holiday;Hawaii
2017-06-14;2017;6;14;Wednesday;Army Birthday;Observance; 
2017-06-14;2017;6;14;Wednesday;Flag Day;Observance; 
2017-06-15;2017;6;15;Thursday;Corpus Christi;Christian; 
2017-06-18;2017;6;18;Sunday;Father's Day;Observance; 
2017-06-19;2017;6;19;Monday;Juneteenth;Local observance;All except HI, MT, ND, NH, SD, TX
2017-06-19;2017;6;19;Monday;Emancipation Day;State holiday;Texas
2017-06-20;2017;6;20;Tuesday;West Virginia Day;State holiday;West Virginia
2017-06-20;2017;6;20;Tuesday;American Eagle Day;Observance; 
2017-06-21;2017;6;21;Wednesday;Lailat al-Qadr;Muslim; 
2017-06-21;2017;6;21;Wednesday;June Solstice;Season; 
2017-06-26;2017;6;26;Monday;Eid al-Fitr;Muslim; 
2017-07-04;2017;7;4;Tuesday;Independence Day;Federal Holiday; 
2017-07-13;2017;7;13;Thursday;Nathan Bedford Forrest Day;Local observance;Tennessee
2017-07-14;2017;7;14;Friday;Bastille Day;Observance; 
2017-07-23;2017;7;23;Sunday;Parents' Day;Observance; 
2017-07-24;2017;7;24;Monday;Pioneer Day;State holiday;Utah
2017-07-27;2017;7;27;Thursday;National Korean War Veterans Armistice Day;Observance; 
2017-08-01;2017;8;1;Tuesday;Tisha B'Av;Jewish holiday; 
2017-08-01;2017;8;1;Tuesday;Colorado Day;Local observance;Colorado
2017-08-04;2017;8;4;Friday;Coast Guard Birthday;Observance; 
2017-08-07;2017;8;7;Monday;Raksha Bandhan;Hindu Holiday; 
2017-08-07;2017;8;7;Monday;Purple Heart Day;Observance; 
2017-08-14;2017;8;14;Monday;Janmashtami;Hindu Holiday; 
2017-08-14;2017;8;14;Monday;Victory Day;State holiday;Rhode Island
2017-08-15;2017;8;15;Tuesday;Assumption of Mary;Christian; 
2017-08-16;2017;8;16;Wednesday;Bennington Battle Day;State holiday;Vermont
2017-08-18;2017;8;18;Friday;Hawaii Statehood Day;State holiday;Hawaii
2017-08-19;2017;8;19;Saturday;National Aviation Day;Observance; 
2017-08-21;2017;8;21;Monday;Senior Citizens Day;Observance; 
2017-08-24;2017;8;24;Thursday;Ganesh Chaturthi;Hindu Holiday; 
2017-08-26;2017;8;26;Saturday;Women's Equality Day;Observance; 
2017-08-27;2017;8;27;Sunday;Lyndon Baines Johnson Day;State holiday;Texas
2017-09-02;2017;9;2;Saturday;Eid al-Adha;Muslim; 
2017-09-04;2017;9;4;Monday;Labor Day;Federal Holiday; 
2017-09-09;2017;9;9;Saturday;Carl Garner Federal Lands Cleanup Day;Observance; 
2017-09-09;2017;9;9;Saturday;California Admission Day;Local observance;California
2017-09-10;2017;9;10;Sunday;National Grandparents Day;Observance; 
2017-09-11;2017;9;11;Monday;Patriot Day;Observance; 
2017-09-15;2017;9;15;Friday;National POW/MIA Recognition Day;Observance; 
2017-09-16;2017;9;16;Saturday;National CleanUp Day;Observance; 
2017-09-17;2017;9;17;Sunday;Constitution Day and Citizenship Day;Observance; 
2017-09-18;2017;9;18;Monday;Air Force Birthday;Observance; 
2017-09-18;2017;9;18;Monday;Constitution Day and Citizenship Day observed;Observance; 
2017-09-20;2017;9;20;Wednesday;Navratri;Hindu Holiday; 
2017-09-21;2017;9;21;Thursday;Rosh Hashana;Jewish holiday; 
2017-09-21;2017;9;21;Thursday;Rosh Hashana;State holiday;Texas***
2017-09-22;2017;9;22;Friday;Muharram;Muslim; 
2017-09-22;2017;9;22;Friday;September Equinox;Season; 
2017-09-22;2017;9;22;Friday;Emancipation Day;Local observance;Ohio
2017-09-22;2017;9;22;Friday;Native American Day;Local observance;California
2017-09-24;2017;9;24;Sunday;Gold Star Mother's Day;Observance; 
2017-09-30;2017;9;30;Saturday;Dussehra;Hindu Holiday; 
2017-09-30;2017;9;30;Saturday;Yom Kippur;State holiday;Texas***
2017-09-30;2017;9;30;Saturday;Yom Kippur;Jewish holiday; 
2017-10-02;2017;10;2;Monday;Child Health Day;Observance; 
2017-10-04;2017;10;4;Wednesday;Feast of St Francis of Assisi;Christian; 
2017-10-05;2017;10;5;Thursday;First Day of Sukkot;Jewish holiday; 
